iter	Passed	Remaining
0	254	254681	1	514	256750
2	832	276747
3	1218	303331
4	1534	305272
5	1707	282853
6	1969	279399
7	2326	288524
8	2533	279012
9	2772	274521
10	2991	268965
11	3232	266169
12	3415	259330
13	3749	264092
14	3927	257912
15	4157	255697
16	4427	256021
17	4677	255177
18	4928	254458
19	5161	252936
20	5517	257210
21	5681	252549
22	5993	254603
23	6257	254482
24	6494	253284
25	6831	255924
26	7076	255009
27	6482	225048
28	6940	232395
	5792	18728230	5884	183924
31	6156	186222
32	6391	187301
33	6537	185752
34	6753	186207
35	6910	185036

36	7048	183456

37	6991	176999
8	6959	171491
39	6888	1653340	7016	164109
8
